name,brand,category,subcategory,unit_type,size_ml,case_size,vendor,case_cost,unit_cost,par_level,reorder_point,default_location,upc,active,notes
Antiquity Blue,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Black Label (Johnnie Walker),,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Black Velvet,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Bulleit Bourbon,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Bulleit Rye,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Chivas Regal,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Crown Royal,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Crown Royal Apple,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Crown Royal Peach,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Evan Williams (Well),,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Four Roses,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Glenfiddich 12,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Glenlivet 12,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Granite Mt.,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Indri,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Jack Daniel's,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Jack Daniel's Fire,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Jameson,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Jim Beam,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Maker's Mark,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Mr. Dowell's,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Pendleton,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Seagram's 7,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Seagram's VO,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Solan Black,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Solan Gold,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Wild Turkey,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
Woodford Reserve,,Spirits,Whiskey,bottle,750,,,,,,,,,1,
